単品レンタル,1日料金,2日料金,3日料金
バートンボード,"¥3,000","¥5,500","¥8,000"
スノーボード,"¥2,500","¥4,500","¥7,500"
スキー,"¥2,500","¥4,500","¥7,500"
スキー＆ストック,"¥2,500","¥4,500","¥7,500"
ショートスキー,"¥2,500","¥4,500","¥7,500"
ボードブーツ,"¥2,000","¥3,500","¥5,000"
スキーブーツ,"¥2,000","¥3,500","¥5,000"
ウエア単品,"¥2,000","¥3,500","¥5,000"
ストック,¥300,¥500,¥800
Jr.スノーボード,"¥2,000","¥3,500","¥5,000"
Jr.スキー,"¥2,000","¥3,500","¥5,000"
Jr.スキー＆ストック,"¥2,000","¥3,500","¥5,000"
Jr.ボードブーツ,"¥1,500","¥2,500","¥3,500"
Jr.スキーブーツ,"¥1,500","¥2,500","¥3,500"
Jr.ウエア単品,"¥1,500","¥2,500","¥3,500"
Jr.ストック,¥300,¥500,¥800
